噦	哕
灝	灏
譙	谯
韞	韫
貺	贶
綣	绻
櫬	榇
訐	讦
糴	籴
鈐	钤
澠	渑
糝	糁
傴	伛
纘	缵
諏	诹
諗	谂
縶	絷
頊	顼
齬	龉
覡	觋
鍰	锾
腡	脶
囅	冁
鰨	鳎
詿	诖
瘞	瘗
騭	骘
觶	觯
鏨	錾
麴	曲
鱝	鲼
禰	祢
鮐	鲐
鸌	鹱
巹	卺
鰷	鲦
鰳	鳓
嬀	妫
輳	辏
諞	谝
鰣	鲥
誶	谇
澩	泶
譖	谮
鯗	鲞
諑	诼
劌	刿
躚	跹
讖	谶
嚳	喾
誄	诔
蕆	蒇
轢	轹
鑣	镳
蹕	跸
闃	阒
黲	黪
韝	鞲
羋	芈
磧	碛
鮞	鲕
銚	铫
諼	谖
嘵	哓
篋	箧
躪	躏
鼉	鼍
僉	佥
繢	缋
鷚	鹨
嶠	峤
讞	谳
鯫	鲰
顥	颢
鯝	鲴
毿	毵
灄	滠
槧	椠
諶	谌
緙	缂
鯢	鲵
紱	绂
釃	酾
賫	赍
嘸	呒
訁	讠
鹺	鹾
鱭	鲚
韉	鞯
紿	绐
羆	罴
躦	躜
緡	缗
鯁	鲠
鍃	锪
轡	辔
軺	轺
勱	劢
鴰	鸹
鮪	鲔
儺	傩
闞	阚
獫	猃
緱	缑
摶	抟
膃	腽
輅	辂
鰹	鲣
詵	诜
黌	黉
臺	台
咼	呙
戔	戋
鯔	鲻
蜆	蚬
厙	厍
貰	贳
頇	顸
峴	岘
餼	饩
謄	誊
鋝	锊
鱧	鳢
綰	绾
颮	飑
愨	悫
覘	觇
鵒	鹆
奩	奁
鞽	鞒
屨	屦
齠	龆
蹣	蹒
驏	骣
賾	赜
癤	疖
覿	觌
鯀	鲧
飫	饫
覯	觏
詘	诎
籜	箨
薟	莶
鰵	鳘
躓	踬
繰	缲
顓	颛
撟	挢
錆	锖
藪	薮
譎	谲
鯴	鲺
轂	毂
鴟	鸱
緄	绲
齟	龃
瞘	眍
黽	黾
濼	泺
閶	阊
躑	踯
闥	闼
顬	颥
閿	阌
躒	跞
攄	摅
鱟	鲎
齔	龀
頭	头
軍	军
辦	办
爛	烂
雞	鸡
閹	阉
內	内
國	国
門	门
馬	马
會	会
華	华
腦	脑
賤	贱
聯	联
筆	笔
賀	贺
龍	龙
綸	纶
齊	齐
諾	诺
開	开
賣	卖
騷	骚
義	义
獨	独
電	电
姦	奸
賓	宾
醱	酦
愛	爱
證	证
輪	轮
賭	赌
張	张
鋼	钢
換	换
權	权
釣	钓
淪	沦
亂	乱
倫	伦
媽	妈
無	无
優	优
殺	杀
褲	裤
奧	奥
書	书
廣	广
聞	闻
專	专
錄	录
傳	传
幹	干
裏	里
處	处
洩	泄
碼	码
敗	败
掄	抡
騎	骑
親	亲
噴	喷
潑	泼
婦	妇
濫	滥
錚	铮
發	发
錢	钱
韓	韩
凱	凯
羅	罗
遺	遗
黨	党
黃	黄
禍	祸
鵬	鹏
陰	阴
証	证
還	还
藥	药
盪	荡
賬	账
號	号
雙	双
統	统
網	网
賺	赚
話	话
糞	粪
祿	禄
風	风
獸	兽
揚	扬
龜	龟
溫	温
則	则
癢	痒
爺	爷
剛	刚
運	运
鮮	鲜
賊	贼
記	记
東	东
條	条
鹽	盐
陳	陈
綱	纲
蕩	荡
殤	殇
貓	猫
總	总
論	论
紅	红
魯	鲁
鴿	鸽
級	级
産	产
現	现
宮	宫
澤	泽
動	动
達	达
賴	赖
體	体
禪	禅
雖	虽
儲	储
學	学
槍	枪
經	经
簫	箫
納	纳
講	讲
鉸	铰
勞	劳
嚴	严
駿	骏
嗎	吗
蘇	苏
稅	税
莖	茎
連	连
銷	销
歡	欢
縫	缝
陽	阳
鄭	郑
喬	乔
擇	择
馼	𫘜
聖	圣
戰	战
車	车
侖	仑
繫	系
樣	样
暈	晕
圖	图
穢	秽
騙	骗
漢	汉
劉	刘
謫	谪
蘚	藓
鮑	鲍
殘	残
淩	凌
鋒	锋
興	兴
慶	庆
幣	币
煉	炼
癩	癞
貞	贞
萬	万
訪	访
機	机
瞞	瞒
報	报
夢	梦
穌	稣
調	调
訊	讯
個	个
亞	亚
懷	怀
錦	锦
濤	涛
彈	弹
長	长
鈔	钞
貨	货
灣	湾
盧	卢
護	护
鎮	镇
壓	压
帳	帐
豔	艳
綿	绵
圓	圆
滿	满
齒	齿
輿	舆
錯	错
偉	伟
養	养
監	监
楊	杨
岡	冈
巒	峦
瑪	玛
誠	诚
鷄	鸡
獅	狮
鳥	鸟
輝	辉
雜	杂
種	种
戶	户
顔	颜
萊	莱
導	导
師	师
難	难
褻	亵
趙	赵
鳩	鸠
陣	阵
勁	劲
欓	𣗋
轉	转
後	后
烏	乌
薹	苔
氣	气
蟲	虫
蘭	兰
兩	两
訂	订
購	购
櫻	樱
鬧	闹
獵	猎
貴	贵
項	项
勝	胜
謝	谢
堯	尧
寶	宝
爾	尔
遠	远
戲	戏
飛	飞
薑	姜
雲	云
維	维
吳	吴
緣	缘
劑	剂
衛	卫
紀	纪
軒	轩
將	将
時	时
曉	晓
蔣	蒋
嬰	婴
兒	儿
湯	汤
藝	艺
術	术
勛	勋
線	线
樂	乐
隱	隐
鏡	镜
燈	灯
區	区
醬	酱
婭	娅
積	积
館	馆
鳳	凤
榮	荣
當	当
謙	谦
關	关
紹	绍
墻	墙
呂	吕
蓮	莲
幫	帮
聾	聋
蠻	蛮
馮	冯
諮	咨
堅	坚
鄺	邝
嵐	岚
騰	腾
靜	静
視	视
賜	赐
